"portugues","tupi"
"Tu mentiste acerca de teu próximo, difamando-o?","nde remo'emype nde rapixara resé i moerapûanaípa?"
"conhecendo a Deus","tupana kuapa"
"Ah, esquadrinham todos os lugares por nós","té, oîoakypûereká îandébe"
"Escondendo ser parente legítimo dela","o mũetéramo sekó kuakupa"
"Os pecadores que não se confessam bem","i angaîpaba'e onhemombe'ukatue'ymba'e"
"Envolvendo seu rosto com véus","aobybĩ pupé sobá ubana"
"Movi-o","aîmomỹî"
"Untei as penas de pássaro","aîmongy gûyrá-aba"
"Trago-o no meu colo","xe ambyî arekó"
"Fi-lo rispidamente","aîmonhang-îeaseî"
"Apoio-me sobre o braço, estando deitado","aîeatyrung gûitupa"
"cinzas do alguidar, da bacia, feitas pelas chamas","nha'ẽpesẽ-uba"
"Como a gente procederá para obedecer a Deus?","marãngatupe asé rekóû tupã o apîaraûama rine?"
"De diante deles ele foi, aos poucos, subindo","sobaké suí mbegûé-mbegûé i xóû oîeupi"
"Falando primeiro a seus filhos, que divide","ogûemimoîa'oka ogûa'yra pé ranhẽ onhe'enga"
"Como sem ti","amba'e-'u nde suí"
"a alma depois que sai do corpo","angûera"
"Infamam-me pelas costas","xe kupébo xe mombe'u"
"Para nos ensinar a orar a Deus","tupã mongetá resé îandé mbo'ebo nhẽ"
"Depois desse momento hei de atacá-los","a'e ré t'asepenhan"
"Fiz-me rapaz","akakuab"
"Por que vieste, ó meu muito amado?","mba'e resépe ereîur xe remiaûsukatu gûi?"
"e portanto","a'e emonãnamo"
"estragando as almas dos índios","abá 'anga momoxŷabo"
"cera de ouvidos","apysakûarygugûá"
"Abundar-me-á futuramente toda a felicidade desejada","xe resemõ irã mba'ekatu-pabẽ i potarypyra"
"Mostrai bem o que é essa Santíssima Trindade","peîmoîekuakatu aîpó santíssima trindade rekó"
"Amarrei penas de asa nela","aîpepó-pûar"
"Ficando a tomar poções para não gerar uma criança","pitanga nhemonhanga suí oîeposanõ-sanonga"
"rio dos sarapós","sarapó 'y"
"Afastaste teu filho e teu escravo de suas amantes?","ereîpe'ape nde ra'yra, nde remiaûsuba i agûasá suí?"
"um pouco , pouco tempo , por pouco tempo","korite'ĩ nhote"
"Ah, como me importuna o fedor dele!","xe moaîu-te i nema mã!"
"Mas não castigará o homem seu filho e seu escravo?","n'oînupãî xûé-tepe abá o a'yra o embiaûsubane?"
"Eu fico gritando dormindo","xe kerasẽ-rasem"
"Eu estou-me amancebando","xe agûasá gûitekóbo"
"Como que do fundo emergi","ypy suí berame'ĩ abur"
"Acredita, meu padrinho, hão de te apresar hoje","erobîá, xe rubangaba, ta nde moembiá kori"
"roupa verde, pano verde","aoboby"
"Esse, somente, é de fato teu nome?","aîpó nhõ-pipó nde rera?"
"Vinde para receber as determinações a vós no lugar em que vos ajuntais","peîori pe nheŷnhangápe pe rekorama rá"
"Como será que um habitante do inferno viveria neste mundo se Deus o fizesse viver fora dali um mês?","marãeté'ĩ ra'umope amõ anhanga ratá pora rekóû ikó 'ara pupé oîepé îasy tupã ebanoĩ suí o moingobérememo?"
"Eu estou admirado contigo","xe putupab nhẽ nde ri"
"Os opostos daqueles pecados assim se enunciam","aîpó tekoangaîpaba robaîara nã e'i"
"Isso não tem meio de se contar, ainda que o sol se pusesse!","aîpó n'i papasabi, kûarasymo oîké îepémo!"
"Hoje eu deveria ir","kori temone asómo"
"Quantas vezes a lua desapareceu ou o caju madurou?","mbobype îasy kanhemi koîpó akaîu aîubamo?"
"Em tuas mãos nossa alma está","nde pópe oré 'anga ruî"
"Para escutar a palavra de Deus","tupã nhe'enga rendubagûama resé"
"Este santo faz aquele que roga a ele alcançar suas coisas sumidas","kó santo o mongetasara oîmoîekosub i mba'e i kanhembyra"
"Não nos batizam também outras pessoas junto do padre?","n'asé reroki bépe amõ abá abaré pyri?"
"Eu sou curto","xe apûa'ĩ"
"Seus matadores repartiram-nas uns com os outros","i îukasarama oîmoîa'ok o îoupé"
"Eu tenho catarata","xe resaoby"
"São Filipe e São Tiago são os que devem ser honrados neste dia","s filipe, stiago kó 'ara i moetepyra"
"Essas serão as que tu assarás","aîpó nde remixyrama"
"Sua remissão foi meu encargo","sepyrama xe pûaîtaba"
"Riscaram todo o teu corpo com ferro pontiagudo","opá nde reté raíri itatîãîa pupé"
"Ilha Grande","ypa'ũgûasu"
"o que tem barba ruiva","sendybaá-îuba'e"
"Dia muito bom surgiu para nós hoje","arangaturameté o'a îandébo kori"
"estando eu","gûitekóbo"
"Fiquei-as errando","aîaby-îaby"
"Os homens que roubam mulheres","apŷaba kunhã ri i mondaba'e"
"Ah, excelente!","té, aûîé-katutenhẽ!"
"Ele está boquiaberto","i îurupukĩ ahẽ oîkóbo"
"Dizem que é assim","emonã i'e ra'e"
"planejando maldades","tekomemûã momboîa"
"eia!","ne'ĩ ne'ĩ!"
"o que delata, o delator","kuaukasara"
"Viram seus discípulos a vinda dele?","osepîakype i boîá tura?"
"De cada dez, repartir uma de nossas coisas com Deus","opá kombó îabi'õ tupã supé oîepé asé mba'e moîa'oka"
"Aquele que eu beijar na face, agarrai-o, atando-lhe as mãos","a'e asetobapé-pyténe peîpysy-katu kori, i popûá"
"Não irás futuramente à guerra?","nd'eresóî xópe irã gûarinĩ?"
"Derrama tuas lágrimas, pranteando a vergonha de tua alma","eîmo'ẽ nde resa'y, nde 'anga i momara'aragûera rapirõmo"
"Para cima mandou pregar suas pernas e, para baixo, sua cabeça","ybaté koty ogûetymã moîarukari, 'yba koty o akanga"
"Aí também, certamente, o homem sofre","a'epe bé rakó abá nhupatĩû"
"A borboleta tornou-se pássaro","panama onhemogûyrá"
"Eu tenho palavras enganosas, falsas","xe nhe'ẽ-puraké"
"minhas coisinhas","xe mba'e'ĩ"
"Desviei-o comigo","aropîá"
"Tu foste gabola, lembrando-te de coisas más?","-nde nhe'engapaparaípe mba'epoxy resé nde ma'enduaramo?"
"Não é mais pão","nd'oîkóî rakó miapéramo"
"Tanto um como o outro importunavam Santa Maria ao longo dos dias","oîoîabenhẽ 'ara rupi santa maria moaîuû"
"Todos vieram?","opápe turi?"
"Estando nós no amor de Deus","tupã îoaûsuba pupé îaîkóbo"
"Eu sou agradável","xe matueté"
"Ao morrer eu, que tu venhas para levar-me para o alto","xe îekyîme, t'ereîu ybaté xe rerasóbo"
"Havemos de nos ajudar um ao outro para criarmos nossos filhos","t'oroîopytybõne oré poromonhangagûera mongakuapa"
"Pegou-se fortemente sua roupa às suas chagas?","oîaratã serã i aoba i moperé-perebagûera resé?"
"Tudo, mesmo o que está no coração da gente, Deus vê?","opakatupe tupã asé py'apendûara tiruã repîaki?"
"Portanto, eu vim","emonãnamo, xe ruri"
"Como Nosso Senhor a cura?","marãpe îandé îara i mombûerabi?"
"Não era Deus Espírito Santo, mas um sinal da sua vinda","-tupã espírito santo anhẽ a'e tatá? -nda tupã espírito santo ruã, tura îekuapaba é - deus espírito santo era, na verdade, aquele fogo?"
"Como criança está sentado nos braços de Maria","pitangamo seni maria îybápe"
"de três em três, três cada um","mosapy-sapyr"
"Riscaram todo o teu corpo com ferro pontiagudo","opá nde reté raíri itatiãîa pupé"
"Se não fosse a vinda do fulano","ahẽ ruraba a'eîponomã"
"Mas quem há como eu?","abá-tepe oîkó xe oîá?"
"Oxalá ela estivesse sem roupa!","ikatupe nhẽ temõ mã!"
"beco ou rua estreita","onhoba'ũ-mirĩ"
"Deste as coisas sumidas que tu achaste para seu dono?","ereîme'engype mba'e-kanhema nde basemagûera i îara supé?"
"Vinde, levai os malditos, erguendo-os, embrulhando-os","peîori, perasó muru, supi i pokeka"
"Vem para nos arrancar o visgo","eîori oré mongoka"
"Na verdade, três vezes negarás ser meu discípulo antes de o galo cantar duas vezes","mosapy ipó xe boîáramo nde rekó ereîkuakub mokõî gûyrá sapukaî' e'ymebéne"
"Asperge-se com água benta","oîeypyî 'y-karaíba pupé"
"Dei um tombo","ayapyĩ"
"Vem para derrotar meus inimigos","eîori xe sumarã reîtyka"
"Com cravos espetando suas mãos, pregando-as","itapygûá pupé i pó kutuka, i moîá"
"Ofereci-lhes comida","asemi'u-erekûab"
"monte de terra","yby-atyra"
"Assim como a nós, Deus vê as minúcias de todas as coisas","îandé îá, tupã opakatu mba'e rasapy-epîaki"
"trucidador","morapitîara"
"Cumpriste as palavras de teu confessor, a auto-flagelação, os jejuns?","ereîmoporype nde monhemombegûara nhe'enga, nhenupã, îekuakuba?"
"Estou na medida","taé a'e"
"Eu não estou doente","na xe marani"
"Casando-se com alguém que não seja ele","i xuí amõ resé omendá"
"Levanto-me","abyr"
"Toleraste as pessoas em sua crença no pajé?","ereîmorype abá paîé rerobîaragûama resé?"
"Fico fazendo mimos","anhemopoîá-poîaî"
"Defeco","apoti"
"Todos os que confessou com os que escondeu voltará a confessar","o emimombe'upûera o emikuakugûera irũmo bé i mombe'uîebyrine"
"Encaixotei-me as coisas","anhemba'e-nhang"
"Enfim, os moços escondem seus muito maus procedimentos","aûîé, kunumĩgûasu o ekó-aíbeté oîomim"
"Vim, atravessando o oceano","paranãgûasu rasapa aîu"
"Que queimem em teu fogo, para que os pecados dos malditos tenham retribuição","t'okaî nde ratá pupé, ta sepy muru angaîpaba"
"Quase o matei","aîukasûer"
"Eia! Que vás logo! Apressa-te!","ne'ĩ! t'eresó taûîé! nde apûan!"
"Eu, Tatapitera, assim como meu grande fogo, inflamo os antigos ódios","xe, tatapytera, xe tatagûasu îabé, asapy nhemoŷrõmbûera"
"Que possa nossa alma crer nele, anunciando-o todos os dias","t'e'ikatu oré 'anga serobîá i mombegûabo 'aré-'arebo"
"Excitaste-o, querendo expelir teu sêmen?","ereîkapyrokype nde ra'y-pupuka potá?"
"Forçaste alguma mulher, sendo tu ladino com ela?","ereîukaípe kunhã amõ, sesé nde ara'apy'iramo?"
"São numerosos os que não são conhecidos","se'yî i kuabypyre'yma"
"Amainei a vela","aroîyb aoba"
"Eles mentem, um de cara para o outro","semo'ẽ, oîobaúpa"
"Trabalhaste em conjunto por ocasião dos feriados?","erepotyrõpe 'aretéreme?"
"Esse é meu antigo enforcador, querendo enforcar-me novamente!","akó xe îubykarûera xe îubyk benhẽ potá!"
"Pedindo para nos ajudarem","îandé pytybõagûama resé oîerurébo"
"Eis que percebendo isso, deixei ontem minha casa","kó anga andupa, aseîá kûesé xe roka"
"Apanhei-as","aîapûapyk"
"Matai-o!","peîuká!"
"Essas serão teu futuro assado","aîpó nde remixyrama"
"Está molestando as pessoas","oporomoaîu oîkóbo"
"Não foi a meu pai que o dei","na xe ruba supé ruã aîme'eng"
"Longamente irritando-se","kype onhemoŷrõmo nhẽ"
"Que tenha reparação teu roubo","ta sepy nde mondagûera"
"Ah, se tivesse percebido isso outrora!","anhandu beémo erimba'e angûama mã!"
"Muito bem, então! Que venha","aûîebeté, rõ! t'oú"
"Deus-Pai","tupã tuba"
"Poluiu-se outrora teu filho por tu o desejares?","o'ẽpe erimba'e nde membyra nde i potasápe?"
"Faço lisonjas ao homem","anhemokunu'unu'uma'ub abá resé"
"Não mais amarei o diabo","n'asaûsu benhẽî xûé anhangane"
"Ele me deixou sem palavras","xe nhe'ẽmbyk ahẽ"
"Defequei","aka'ab"
"Como viajantes é que nós estamos nesta terra","ataramo é asé rekóû ikó yby pupé"
"Deixei ontem minha casa","aseîá kûesé xe roka"
"Eu tenho mãos sardentas","xe pó-pinim"
"Aqui estamos alegrando-nos para festejar teu dia","kó oroîkó oronhemborypa nde 'ara momorangápe"
"Não faz mal, não há problema","na sasyî"
"Estão sempre cheias as igaçabas Não abrem mão do cauim","tynysẽ memẽ ygasaba n'i apori kaûĩ resé"
"Aonde chegaram com Nosso Senhor, finalmente?","mamõpe gûá îandé îara rerosyki ko'yté?"
"Anunciando os acontecimentos futuros","tekorama mombegûabo"
"Dou passos largos, dou grandes passos","xe rapupa'ũusu"
"Que entres em meu coração, guardando meu interior","xe nhy'ãme t'ereîké, xe py'a moingatûabo"
"Em que situações a gente reza para ele?","mba'e-mba'eremepe asé îeruréû i xupé?"
"Quando chegou a morte, para junto de Deus-Pai Jesus fez-te subir","te'õ mbasembápe, tupã tuba pyri îesu nde rupiri"
"se humilha, arrependendo-se de suas maldades","onhemomboreaûsub, o angaîpaba moasŷabo"
"Como os inimigos e os soldados, apanhando-o, trataram-no, então?","marãpe tobaîaretá, maranaritekoara, i pysyka, serekóû a'ereme?"
"Eu tenho a carne palpitante","xe ro'o-tytyk"
"Estamos pertinho um do outro","o îoambyî oroîub"
"Fica! Somente quando bebes cauim tu queres ser valente? Palermão! Centopéia!","epytá! kagûápe nhõ nde ratãngatu-potá? manemusu! ambu'a!"
"Resgatei os índios","aporepŷan apŷaba"
"Tentastes em vão, por pouco tempo, não dormir perto de mim","pesa'ang îepé korite'ĩ nhõte xe pyri pekere'yma"
"Coisa beiçuda!","mba'e-embegûasu!"
"Sendo também odiados","seroŷrõmbyramo oîkóbo bé"
"Eis que também minhas presas hei de dar algumas para ti, para que quebres suas cabeças","kobé xe rembiaretá t'ame'ẽne amõ endébo, i akanga t'ereîoká"
"Doravante, não estejais aflitos","angiré, pe poreaûsub umẽ"
"Quero muito mesmo todas as aldeias destruir","aîpotá-katutenhẽ opabĩ taba mondyka"
"Vamos, devagar, para fazer o assalto","t'îasó, mbegûé, îapu'ama"
"Esbofeteio as costas de suas mãos","aîpokupé-petek"
"Por isso mesmo todos os homens ficarão pálidos de aflição","nd'e'i te'e opá abá robaîubamo tekotebẽ suíne"
"Mas ele não era Deus?","na tupã ruã-tepe a'e?"
"Parti-o pelo meio","oîopytera rupi aîasy'ab"
"És um nenenzinho","pitangĩnamo ereîkó"
"Eu tenho palavras ásperas","xe nhe'engasy"
"Não se separam na guerra","n'i xandoki marana ri"
"Eia, vamos logo","ene'ĩ, t'îasó taûîé"
"Eis que estava de cor um tanto preta, certamente","moroún-mbyry nakó"
"Eis que a cada Páscoa um prisioneiro fazeis-me libertar sempre","aretegûasu îabi'õ ã mundepora amõ îepé peîmosem-ukar ixébe îepi"
"Queres sair em vão de debaixo de nossas mãos","eresẽ-potá tenhẽ oré pó gûyra suí"
"Mandando fazê-los embarcar numa arca de madeira, semelhante a um navio","ybyrá karamemûã, ygarusu nungara pupé i mo'aruká"
"Encalhemos","t'îaîar"
"Eu sou o grande tamoio Aimbirê, uma sucuriju","xe tamuîusu aîmbiré, sukuriîu"
"Atravessei rios","a'y-asab"
"São maus estes teus servos, não me tratam bem","i angaîpá kó nde boîá, na xe rerekó-katuî"
"Medi a profundidade dele","atypy-a'ang"
"Salto com ela","aropor"
"Vem, coisa fedorenta, coisa nojenta, borá, maritacaca, sanguessuga, tamarutaca!","eîori, mba'enem, mba'e-poxy, mborá, miaratakaka, sebo'i, tamarutaka!"
"E no caso de ele não estar?","a'e ipó sekoe'ỹme?"
"Mexi-as","aîapamonan"
"Os reis apressados junto ao nenenzinho vieram","reîá-anhẽ pitangĩ supé oú"
"Vivo na mancebia, vivo amancebado","agûasá pupé aîkó"
"Eu tenho criações","xe reîmbab"
"Eu tenho o coração angustiado","xe py'a-ekotebẽ"
"Enterrai-me vós","xe aty peîepé"
"Força de minha alma","xe 'anga taŷaíba"
"Muito a propósito a gente comemorará bem esse dia","a'eboé ebokûé 'ara asé oîmoeté-katune"
"Por isso mesmo Deus aqueles lançou no fogo","nd'e'i te'e tupã a'eba'e reîtyka tatápe"
"Não acabam os desejos sensuais, a lascívia, as maledicências","n'opabi moropotara, tesãînana, marã'é"
"Que é, porventura, daquele?","umã-pakó? umã-takó? ou umã-pakó akûea?"
"Surpreendi-o, na verdade","asesapy'a é nakó"
"coisa manifesta, pública, coisa notória por ser vista","ikatupendûara"
"Por isso mesmo os moços, por os convidarem os chefes, entram sempre no lugar de beber cauim","nd'e'i te'e kunumĩgûasu, morubixaba o sogûápe, oîkébo memẽ kagûápe"
"Não perdoam, não são afáveis","n'i nhyrõî, n'i îerekûabi"
"Ele não foi mesquinho antes de tua vinda aqui diante de mim","na sa'ubi iké xe robaké nde rur'e'ymebé"
"Porei armadilhas para eles","aîekotyrung seséne"
"Coloquei-o de boca para baixo","oobapybo aîmoín"
"Que dê hoje a nós seu filho muito belo","t'oîme'eng kori îandébo o memby-porangeté"
"O que acredita na dança do chocalho","maraká poraseîa rerobîasara"
"homem muito preguiçoso","abá-ate'ymusu"
"Tive a segunda menstruação","aîeporero'ypok"
"Entrei para estar fundeado","aîké gûitupa"
"Da mesma forma, como componente deste mundo, a morte também entrou","te'õ abé reîkéû ikó 'ara poramo oîá"
"Mais que todas as coisas dolorosas que estão neste mundo","opakatu ikó 'ara pupîara mba'easy sosé"
"Com seu sopro somente dando vida a ele","o pytu pupé nhote tekobé me'enga i xupé"
"Transgride também aquele o que faz resguardo por causa do parto de sua esposa?","oîaby bépe aîpó o emirekó membyrara resé oîekuakuba'e?"
"Estou só","oîepebẽ aîkó"
"Pensai que, algum dia, a morte virá para bater em vossas portas, em despreparo, surpreendendo-vos","penheangerekó amõ 'ara pupé te'õ pe rokena motaka turagûama resé é, nhemosako'ie'yma pupé, pe pokosupa"
"São muito temíveis teus chifres","iîabaeté-katu nde 'aka"
"Tornaste-te pajé, fazendo sucções?","erenhemopaîépe eposubana?"
"Eis que a virtude somente há de ser o modo de se libertar da morte","tekokatu anhõ ã te'õ suí îepysyrõsabeté re'a"
"minha antiga região","xe retãmbûera"
"Conforta-me tu","xe moapysyk îepé"
"Muito bem!","aûîé ipó!"
"Querendo isso, fez-se homem, não deixando de ser Deus","aîpó potá é erimba'e nhemoapŷabi, tupãnamo o ekó po'ire'yma"
"É muito má a vontade destas vossas presas","i angaîpab-eté kó pe rembiá potasaba"
"Por isso mesmo não tinha maldade antes de se destinar para mãe de Deus- Filho","nd'e'i te'e o poxye'ymamo tupã-ta'yra syramo o îe'o îanondé"
"Vem, compadecedor de mim","eîori xe poraûsubara"
"Como símbolo de sua união com ela, temos o casamento","sesé i nhemonanagûera ra'angabamo mendá îarekó"
"Mas não tentam esses aprender sempre?","n'osa'angi-tep'akó nhembo'e ko'arapukuî?"
"Por conhecê-lo, agora amo-o","a'e kuapápe, ko'y asaûsu"
"o que sofre febre","akanunduka porarasara"
"Cortei um pedaço dela","aîasy-'ab"
"Deverias ter sabido antes do teu agir assim","ereîkuá ranhẽ meémo emonã nde rekorama"
